state,date,ch1,ch_type,geo,event
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1850-09-09""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._12,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._12/Geometry/181,http://time-space-event.com/resource/event/state/id/152
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1850-12-13""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._13,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._13/Geometry/182,http://time-space-event.com/resource/event/state/id/141
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1854-05-30""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._14,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._14/Geometry/183,http://time-space-event.com/resource/event/state/id/111
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1858-05-11""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._15,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._15/Geometry/184,http://time-space-event.com/resource/event/state/id/153
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1861-01-29""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._16,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._16/Geometry/185,http://time-space-event.com/resource/event/state/id/66
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1861-02-28""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._17,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._17/Geometry/186,http://time-space-event.com/resource/event/state/id/154
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1861-03-02""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._18,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._18/Geometry/187,http://time-space-event.com/resource/event/state/id/30
http://time-space-event.com/resource/Territory/Utah_Territory,"""1861-02-28""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Utah_Territory_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Utah_Territory_2/Geometry/190,http://time-space-event.com/resource/event/state/id/22
http://time-space-event.com/resource/Territory/Utah_Territory,"""1861-03-02""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Utah_Territory_3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Utah_Territory_3/Geometry/191,http://time-space-event.com/resource/event/state/id/156
http://time-space-event.com/resource/Territory/Utah_Territory,"""1862-07-14""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Utah_Territory_4,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Utah_Territory_4/Geometry/192,http://time-space-event.com/resource/event/state/id/123
http://time-space-event.com/resource/Territory/Utah_Territory,"""1866-05-05""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Utah_Territory_5,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Utah_Territory_5/Geometry/193,http://time-space-event.com/resource/event/state/id/157
http://time-space-event.com/resource/Territory/Utah_Territory,"""1868-07-25""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Utah_Territory_6,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Utah_Territory_6/Geometry/194,http://time-space-event.com/resource/event/state/id/33
http://time-space-event.com/resource/State/Virginia,"""1784-03-01""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Virginia_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Virginia_2/Geometry/196,http://time-space-event.com/resource/event/state/id/158
http://time-space-event.com/resource/State/Virginia,"""1791-03-30""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Virginia_3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Virginia_3/Geometry/197,http://time-space-event.com/resource/event/state/id/159
http://time-space-event.com/resource/State/Virginia,"""1792-06-01""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Virginia_4,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Virginia_4/Geometry/198,http://time-space-event.com/resource/event/state/id/160
http://time-space-event.com/resource/State/Virginia,"""1846-09-07""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Virginia_5,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Virginia_5/Geometry/199,http://time-space-event.com/resource/event/state/id/161
http://time-space-event.com/resource/State/Virginia,"""1863-06-20""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Virginia_6,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Virginia_6/Geometry/200,http://time-space-event.com/resource/event/state/id/162
http://time-space-event.com/resource/State/Virginia,"""1863-08-05""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Virginia_7,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Virginia_7/Geometry/201,http://time-space-event.com/resource/event/state/id/163
http://time-space-event.com/resource/State/Virginia,"""1863-11-02""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Virginia_8,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Virginia_8/Geometry/202,http://time-space-event.com/resource/event/state/id/164
http://time-space-event.com/resource/Territory/Washington_Territory,"""1859-02-14""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Washington_Territory_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Washington_Territory_2/Geometry/207,http://time-space-event.com/resource/event/state/id/169
http://time-space-event.com/resource/Territory/Washington_Territory,"""1861-03-02""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Washington_Territory_3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Washington_Territory_3/Geometry/208,http://time-space-event.com/resource/event/state/id/170
http://time-space-event.com/resource/Territory/Washington_Territory,"""1863-03-03""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Washington_Territory_4,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Washington_Territory_4/Geometry/209,http://time-space-event.com/resource/event/state/id/52
http://time-space-event.com/resource/State/Wisconsin,"""1926-11-22""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Wisconsin_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Wisconsin_2/Geometry/211,http://time-space-event.com/resource/event/state/id/172
http://time-space-event.com/resource/State/Wisconsin,"""1936-03-16""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Wisconsin_3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Wisconsin_3/Geometry/212,http://time-space-event.com/resource/event/state/id/173
http://time-space-event.com/resource/Territory/Wisconsin_Territory,"""1838-07-03""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Wisconsin_Territory_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Wisconsin_Territory_2/Geometry/214,http://time-space-event.com/resource/event/state/id/175
http://time-space-event.com/resource/State/West_Virginia,"""1863-08-05""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_West_Virginia_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/West_Virginia_2/Geometry/217,http://time-space-event.com/resource/event/state/id/176
http://time-space-event.com/resource/State/West_Virginia,"""1863-11-02""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_West_Virginia_3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/West_Virginia_3/Geometry/218,http://time-space-event.com/resource/event/state/id/177
